interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceVerbatimName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	sourceLifeStageName	sourceAssociatedSequences	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetVerbatimName	targetFamilyName	targetCommonName	targetLifeStageName	targetAssociatedSequences	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	eventTime	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
10	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=762170	Megachile sculpturalis		Megachilidae	giant resin bee	male	http://purl.obolibrary.org/obo/FBcv_0000333	adult		http://purl.obolibrary.org/obo/RO_0008503		eviction	nest	http://purl.obolibrary.org/obo/ENVO_00005803	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=684982	Xylocopa varipuncta		Apidae	eastern carpenter bee	adult		United States	Virginia	Clarke	"Blandy Experimental Farm (Boyce, Virginia, USA)"		Boyce; Blandy Experimental Farm		39.063811	-78.065325	182	182	July 25 2012 afternoon	2012-07-25		https://doi.org/10.2317/0022-8567-85.4.387	"Roulston, T.H., & Malfi, R.L. (2012). Aggressive Eviction of the Eastern Carpenter Bee (Xylocopa virginica (Linnaeus)) from its Nest by the Giant Resin Bee (Megachile sculpturalis Smith)."	journal article	TRUE	Elaine Tan	"male observed with signs of attack by source specimen, no direct interaction observed"
11	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=762170	Megachile sculpturalis		Megachilidae	giant resin bee	female	http://purl.obolibrary.org/obo/FBcv_0000334	adult		http://purl.obolibrary.org/obo/RO_0008503		eviction	nest	http://purl.obolibrary.org/obo/ENVO_00005803	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=684982	Xylocopa varipuncta		Apidae	eastern carpenter bee	adult		United States	Virginia	Clarke	"Blandy Experimental Farm (Boyce, Virginia, USA)"		Boyce; Blandy Experimental Farm		39.063811	-78.065325	182	182	July 25 2012 afternoon	2012-07-25		https://doi.org/10.2317/0022-8567-85.4.387	"Roulston, T.H., & Malfi, R.L. (2012). Aggressive Eviction of the Eastern Carpenter Bee (Xylocopa virginica (Linnaeus)) from its Nest by the Giant Resin Bee (Megachile sculpturalis Smith)."	journal article	TRUE	Elaine Tan	Observation
12	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=154396	Apis mellifera		Apidae	European honeybee			adult		http://purl.obolibrary.org/obo/RO_0002622		floral visit	flower	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7678610	Raphanus sativus		Brassicaceae	wild radish			United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island		34.008126	-119.724201			1994-1998				"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."	symposium paper	TRUE	Elaine Tan	
13	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=654473	Andrena prunorum		Andrenidae				adult		http://purl.obolibrary.org/obo/RO_0002622		floral visit	flower	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7678610	Raphanus sativus		Brassicaceae	wild radish			United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island		34.008126	-119.724201			1994-1998				"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."	symposium paper	TRUE	Elaine Tan	
14	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=757559	Agapostemon texanus		Halictidae	ultra-green sweat bee			adult		http://purl.obolibrary.org/obo/RO_0002622		floral visit	flower	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7678610	Raphanus sativus		Brassicaceae	wild radish			United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island		34.008126	-119.724201			1994-1998				"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."	symposium paper	TRUE	Elaine Tan	
15	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=698895	Anthophora edwardsii		Apidae	Edwards's digger bee			adult		http://purl.obolibrary.org/obo/RO_0002622		floral visit	flower	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7678610	Raphanus sativus		Brassicaceae	wild radish			United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island		34.008126	-119.724201			1994-1998				"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."	symposium paper	TRUE	Elaine Tan	
16	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=754343	Augochlorella pomoniella		Halictidae	peridot green-sweat bee			adult		http://purl.obolibrary.org/obo/RO_0002622		floral visit	flower	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7678610	Raphanus sativus		Brassicaceae	wild radish			United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island		34.008126	-119.724201			1994-1998				"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."	symposium paper	TRUE	Elaine Tan	
17	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=714820	Bombus edwardsii		Apidae	black-tailed bumblebee			adult		http://purl.obolibrary.org/obo/RO_0002622		floral visit	flower	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7678610	Raphanus sativus		Brassicaceae	wild radish			United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island		34.008126	-119.724201			1994-1998				"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."	symposium paper	TRUE	Elaine Tan	
18	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=684878	Ceratina acantha		Apidae	prickly ceratina bee			adult		http://purl.obolibrary.org/obo/RO_0002622		floral visit	flower	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7678610	Raphanus sativus		Brassicaceae	wild radish			United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island		34.008126	-119.724201			1994-1998				"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."	symposium paper	TRUE	Elaine Tan	
19	literatureRecord		Lasioglossum (Dialictus)		Halictidae				adult		http://purl.obolibrary.org/obo/RO_0002622		floral visit	flower	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7678610	Raphanus sativus		Brassicaceae	wild radish			United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island		34.008126	-119.724201			1994-1998				"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."	symposium paper	TRUE	Elaine Tan	
