interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetFamilyName	targetCommonName	country	stateProvince	county	verbatimLocality	localityId	locality	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	eventDate	eventTime	referenceDoi	referenceCitation	referenceType	enteredBy	notes
	LiteratureRecord		Megachile sculpturalis	Megachilidae	giant resin bee	male				eviction	nest		in nature			Xylocopa varipuncta	Apidae	eastern carpenter bee	United States	Virginia	Clarke	"Blandy Experimental Farm (Boyce, Virginia, USA)"		Boyce; Blandy Experimental Farm	39.063811	-78.065325	182	182	7/25/2012	afternoon	https://doi.org/10.2317/0022-8567-85.4.387	"Roulston, T.H., & Malfi, R.L. (2012). Aggressive Eviction of the Eastern Carpenter Bee (Xylocopa virginica (Linnaeus)) from its Nest by the Giant Resin Bee (Megachile sculpturalis Smith)."		Elaine Tan	"male observed with signs of attack by source specimen, no direct interaction observed"
	LiteratureRecord		Megachile sculpturalis	Megachilidae	giant resin bee	female				eviction	nest		in nature			Xylocopa varipuncta	Apidae	eastern carpenter bee	United States	Virginia	Clarke	"Blandy Experimental Farm (Boyce, Virginia, USA)"		Boyce; Blandy Experimental Farm	39.063811	-78.065325	182	182	7/25/2012	afternoon	https://doi.org/10.2317/0022-8567-85.4.387	"Roulston, T.H., & Malfi, R.L. (2012). Aggressive Eviction of the Eastern Carpenter Bee (Xylocopa virginica (Linnaeus)) from its Nest by the Giant Resin Bee (Megachile sculpturalis Smith)."		Elaine Tan	Observation
	LiteratureRecord		Andrena prunorum	Andrenidae						floral visit	flower		in nature			Raphanus sativus	Brassicaceae	wild radish	United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island					1994-1998			"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261– 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."		Elaine Tan	
	LiteratureRecord		Agapostemon texanus	Halictidae	ultra-green sweat bee					floral visit	flower		in nature			Raphanus sativus	Brassicaceae	wild radish	United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island								"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261– 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."		Elaine Tan	
	LiteratureRecord		Anthophora edwardsii	Apidae						floral visit	flower		in nature			Raphanus sativus	Brassicaceae	wild radish	United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island								"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261– 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."		Elaine Tan	
	LiteratureRecord		Augochlorella pomoniella	Halictidae	peridot green-sweat bee					floral visit	flower		in nature			Raphanus sativus	Brassicaceae	wild radish	United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island								"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261– 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."		Elaine Tan	
	LiteratureRecord		Bombus edwardsii	Apidae						floral visit	flower		in nature			Raphanus sativus	Brassicaceae	wild radish	United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island								"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261– 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."		Elaine Tan	
	LiteratureRecord		Ceratina acantha	Apidae						floral visit	flower		in nature			Raphanus sativus	Brassicaceae	wild radish	United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island								"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261– 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."		Elaine Tan	
	LiteratureRecord		Halictus (Seladonia)	Halictidae						floral visit	flower		in nature			Raphanus sativus	Brassicaceae	wild radish	United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island								"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261– 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."		Elaine Tan	
	LiteratureRecord		Lasioglossum channelense	Halictidae						floral visit	flower		in nature			Raphanus sativus	Brassicaceae	wild radish	United States	California	Santa Barbara	Santa Cruz Island		Santa Cruz Island								"Thorp, R.W., A.M. Wenner, and J.F. Barthell. 2000. Pollen and nectar resource overlap among bees on Santa Cruz Island. Pages 261– 268. In: D.R. Browne, K.L. Mitchell, and H.W. Chaney (eds.), Fifth California Islands Symposium. MBC Applied Environmental Sciences, Costa Mesa, CA."		Elaine Tan	
