interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetFamilyName	targetCommonName	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	eventTime	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
1	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699376	Melissodes pullatella	Apidae		Female	http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622	FALSE				In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=535920	Grindelia integrifolia x Grindelia nana	Asteraceae	Willamette Valley gumweed	United States	Oregon	Benton			"Corvallis, 5 mi east of Tangent, Oregon"	Agricultural field margins	44.60417	-123.2389			1909-1937; late July through August			10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	FALSE	Katja Seltmann	primarySource: LaBerge WE (1981) A revision of the bees of the genus Melissodes in North and Central America Part III. Univ Kans Sci Bull 42:283–663
2	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699377	Melissodes pullatella	Apidae		Female	http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622	FALSE				In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=535920	Grindelia integrifolia x Grindelia nana	Asteraceae	Willamette Valley gumweed	United States	Oregon	Linn			Shedd	Agricultural field margins	44.46361	-123.1106			1909-1937; late July through August			10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	FALSE	Katja Seltmann	primarySource: LaBerge WE (1981) A revision of the bees of the genus Melissodes in North and Central America Part III. Univ Kans Sci Bull 42:283–663
3	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699378	Melissodes pullatella	Apidae		Female	http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622	FALSE	collecting pollen	flower	http://purl.obolibrary.org/obo/PO_0009046	In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=535920	Grindelia integrifolia x Grindelia nana	Asteraceae	Willamette Valley gumweed	United States	Oregon	Benton			"South of Corvallis, Finley National Wildlife Refuge"	Wetland prairie	44.42222	-123.3042			until 1984; late July through August			10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	TRUE	Katja Seltmann	A. R. Moldenke personal observation
4	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699379	Melissodes pullatella	Apidae				http://purl.obolibrary.org/obo/RO_0002622	FALSE				In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=535920	Grindelia integrifolia x Grindelia nana	Asteraceae	Willamette Valley gumweed	United States	Oregon	Lane			"Dike 2, near Fern Ridge Reservoir"	Wetland prairie	44.09722	-123.2489			July and August			10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	TRUE	Katja Seltmann	
5	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699380	Melissodes pullatella	Apidae				http://purl.obolibrary.org/obo/RO_0002622	FALSE				In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=535920	Grindelia integrifolia x Grindelia nana	Asteraceae	Willamette Valley gumweed	United States	Oregon	Benton			Jackson–Frazier Wetlands	Wetland prairie	44.60417	-123.2389			2003-2005			10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	TRUE	Katja Seltmann	
6	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699381	Melissodes pullatella	Apidae		Female	http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622	FALSE	nectaring on	flower	http://purl.obolibrary.org/obo/PO_0009046	In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36089	Senecio jacobaea	Asteraceae	ragwort	United States	Oregon	Lane			Coburg Ridge	"dry, Upland prarie"	44.11194	-123.0003			2003-2005			10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	TRUE	Katja Seltmann	
7	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699382	Melissodes pullatella	Apidae				http://purl.obolibrary.org/obo/RO_0002622	FALSE	foraged on	flower	http://purl.obolibrary.org/obo/PO_0009046	In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=535920	Grindelia integrifolia x Grindelia nana	Asteraceae	Willamette Valley gumweed	United States	Oregon	Lane			"Dike 2, near Fern Ridge Reservoir"	Wetland prairie	44.0375	-123.1703				2005-00-00		10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	TRUE	Katja Seltmann	
8	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699376	Melissodes pullatella	Apidae				http://purl.obolibrary.org/obo/RO_0002622	FALSE	foraged on	flower	http://purl.obolibrary.org/obo/PO_0009046	In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=529952	Pyrrocoma racemosa var. racemosa	Asteraceae	clustered goldenweed	United States	Oregon	Lane			"Dike 2, near Fern Ridge Reservoir"	Wetland prairie	44.09722	-123.2489			July and August	2005-00-00		10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	TRUE	Katja Seltmann	
9	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=777794	Lycaena xanthoides	Lycaenidae	great copper butterfly			http://purl.obolibrary.org/obo/RO_0002470	FALSE	has adult food resource	flower	http://purl.obolibrary.org/obo/PO_0009046	In nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=535920	Grindelia integrifolia x Grindelia nana	Asteraceae	Willamette Valley gumweed	United States	Oregon	Benton			Finley National Wildlife Refuge	Wetland prairie	44.42222	-123.3042						10.1007/s10531-010-9897-7	"Severns, P. M. & Moldenke, A. R. (2010) Management tradeoffs between focal species and biodiversity: Endemic plant conservation and solitary bee extinction. Biodivers. Conserv. 19, 3605–3609."	Journal Article	TRUE	Katja Seltmann	
																																						
